      0.0000     -0.0000     -0.0000      0.0000
      0.1000      0.0867      0.0088      0.0045
      0.2000      0.1523      0.0311      0.0166
      0.3000      0.2033      0.0622      0.0345
      0.4000      0.2440      0.0991      0.0569
      0.5000      0.2775      0.1394      0.0831
      0.6000      0.3059      0.1818      0.1123
      0.7000      0.3307      0.2252      0.1441
      0.8000      0.3528      0.2688      0.1783
      0.9000      0.3730      0.3124      0.2146
      1.0000      0.3916      0.3555      0.2529
      1.1000      0.4092      0.3979      0.2929
      1.2000      0.4258      0.4395      0.3347
      1.3000      0.4417      0.4803      0.3781
      1.4000      0.4569      0.5201      0.4230
      1.5000      0.4716      0.5590      0.4694
      1.6000      0.4858      0.5969      0.5173
      1.7000      0.4995      0.6339      0.5666
      1.8000      0.5129      0.6700      0.6172
      1.9000      0.5258      0.7051      0.6691
      2.0000      0.5384      0.7393      0.7223
      2.1000      0.5506      0.7726      0.7768
      2.2000      0.5625      0.8050      0.8324
      2.3000      0.5741      0.8366      0.8893
      2.4000      0.5854      0.8674      0.9473
      2.5000      0.5964      0.8973      1.0063
      2.6000      0.6070      0.9264      1.0665
      2.7000      0.6174      0.9548      1.1277
      2.8000      0.6275      0.9825      1.1900
      2.9000      0.6374      1.0094      1.2532
      3.0000      0.6470      1.0356      1.3175
      3.1000      0.6563      1.0610      1.3826
      3.2000      0.6654      1.0859      1.4487
      3.3000      0.6743      1.1100      1.5157
      3.4000      0.6829      1.1336      1.5836
      3.5000      0.6912      1.1565      1.6523
      3.6000      0.6994      1.1788      1.7218
      3.7000      0.7074      1.2005      1.7921
      3.8000      0.7151      1.2216      1.8633
      3.9000      0.7226      1.2422      1.9352
      4.0000      0.7300      1.2622      2.0078
      4.1000      0.7371      1.2818      2.0811
      4.2000      0.7441      1.3007      2.1552
      4.3000      0.7508      1.3192      2.2300
      4.4000      0.7574      1.3372      2.3054
      4.5000      0.7638      1.3548      2.3814
      4.6000      0.7701      1.3718      2.4581
      4.7000      0.7761      1.3884      2.5354
      4.8000      0.7821      1.4046      2.6133
      4.9000      0.7878      1.4203      2.6918
      5.0000      0.7934      1.4357      2.7709
      5.1000      0.7989      1.4506      2.8505
      5.2000      0.8042      1.4651      2.9307
      5.3000      0.8094      1.4792      3.0114
      5.4000      0.8144      1.4930      3.0926
      5.5000      0.8193      1.5064      3.1742
      5.6000      0.8241      1.5195      3.2564
      5.7000      0.8288      1.5322      3.3391
      5.8000      0.8333      1.5445      3.4222
      5.9000      0.8377      1.5566      3.5057
      6.0000      0.8420      1.5683      3.5897
      6.1000      0.8462      1.5797      3.6741
      6.2000      0.8502      1.5908      3.7589
      6.3000      0.8542      1.6017      3.8442
      6.4000      0.8580      1.6122      3.9298
      6.5000      0.8618      1.6224      4.0158
      6.6000      0.8655      1.6324      4.1021
      6.7000      0.8690      1.6421      4.1888
      6.8000      0.8725      1.6516      4.2759
      6.9000      0.8758      1.6608      4.3633
      7.0000      0.8791      1.6698      4.4511
      7.1000      0.8823      1.6785      4.5392
      7.2000      0.8854      1.6870      4.6276
      7.3000      0.8885      1.6953      4.7162
      7.4000      0.8914      1.7033      4.8052
      7.5000      0.8943      1.7112      4.8945
      7.6000      0.8971      1.7188      4.9841
      7.7000      0.8998      1.7263      5.0739
      7.8000      0.9025      1.7335      5.1641
      7.9000      0.9050      1.7405      5.2544
      8.0000      0.9075      1.7474      5.3451
      8.1000      0.9100      1.7541      5.4359
      8.2000      0.9124      1.7606      5.5271
      8.3000      0.9147      1.7669      5.6184
      8.4000      0.9169      1.7731      5.7100
      8.5000      0.9191      1.7791      5.8018
      8.6000      0.9213      1.7849      5.8938
      8.7000      0.9234      1.7906      5.9860
      8.8000      0.9254      1.7961      6.0785
      8.9000      0.9274      1.8015      6.1711
      9.0000      0.9293      1.8068      6.2640
      9.1000      0.9311      1.8119      6.3570
      9.2000      0.9330      1.8169      6.4502
      9.3000      0.9347      1.8217      6.5436
      9.4000      0.9365      1.8264      6.6371
      9.5000      0.9381      1.8310      6.7309
      9.6000      0.9398      1.8355      6.8248
      9.7000      0.9414      1.8398      6.9188
      9.8000      0.9429      1.8441      7.0130
      9.9000      0.9444      1.8482      7.1074
     10.0000      0.9459      1.8522      7.2019
